id,subject,question_type,difficulty,question_text,answer,user_answer,explanation,created_at
87,数学,计算题,4,计算: 87 + 66 = ?,153,错误答案2,将87与66相加得到153,2025-04-09 20:59:35
88,物理,解答题,3,物理解答题额外示例问题3,答案3,错误答案3,解析说明3,2025-04-09 20:59:35
89,物理,填空题,3,物理填空题额外示例问题4,答案4,错误答案4,解析说明4,2025-04-09 20:59:35
90,化学,填空题,3,化学填空题额外示例问题5,答案5,错误答案5,详细解析5,2025-04-09 20:59:35
91,数学,选择题,5,数学选择题额外示例问题6,答案6,D,解析说明6,2025-04-09 20:59:35
92,物理,选择题,3,物理选择题额外示例问题7,答案7,D,解析说明7,2025-04-09 20:59:35
82,化学,填空题,2,化学填空题示例问题 (难度2),答案示例,错误答案示例,详细解析示例,2025-04-09 20:59:35
83,化学,计算题,3,化学计算题示例问题 (难度3),答案示例,错误答案示例,详细解析示例,2025-04-09 20:59:35
84,化学,填空题,4,化学填空题示例问题 (难度4),答案示例,错误答案示例,详细解析示例,2025-04-09 20:59:35
85,化学,填空题,5,化学填空题示例问题 (难度5),答案示例,错误答案示例,详细解析示例,2025-04-09 20:59:35
86,化学,填空题,4,化学填空题额外示例问题1,答案1,错误答案1,详细解析1,2025-04-09 20:59:35
75,数学,填空题,5,数学填空题示例问题 (难度5),答案示例,错误答案示例,解析说明示例,2025-04-09 20:59:35
76,物理,计算题,1,物理计算题示例问题 (难度1),答案示例,错误答案示例,解析说明示例,2025-04-09 20:59:35
77,物理,计算题,2,物理计算题示例问题 (难度2),答案示例,错误答案示例,解析说明示例,2025-04-09 20:59:35
78,物理,填空题,3,物理填空题示例问题 (难度3),答案示例,错误答案示例,解析说明示例,2025-04-09 20:59:35
79,物理,解答题,4,物理解答题示例问题 (难度4),答案示例,错误答案示例,解析说明示例,2025-04-09 20:59:35
80,物理,计算题,5,物理计算题示例问题 (难度5),答案示例,错误答案示例,解析说明示例,2025-04-09 20:59:35
81,化学,选择题,1,化学选择题示例问题 (难度1),答案示例,D,详细解析示例,2025-04-09 20:59:35
72,数学,解答题,2,证明：三角形内角和等于180度。,证明过程略,错误答案示例,可以通过内错角相等和同位角相等证明,2025-04-09 20:59:35
73,数学,计算题,3,计算: 83 + 16 = ?,99,错误答案示例,将83与16相加得到99,2025-04-09 20:59:35
74,数学,解答题,4,证明：三角形内角和等于180度。,证明过程略,错误答案示例,可以通过内错角相等和同位角相等证明,2025-04-09 20:59:35
71,数学,选择题,1,数学选择题示例问题 (难度1),答案示例,A,解析说明示例,2025-04-09 20:59:35
64,物理,解答题,4,物理解答题示例问题44,答案44,错误答案44,解析说明44,2025-04-09 20:26:27
65,化学,选择题,5,化学选择题示例问题45,答案45,C,详细解析45,2025-04-09 20:26:27
66,数学,填空题,1,数学填空题示例问题46,答案46,错误答案46,解析说明46,2025-04-09 20:26:27
67,物理,计算题,2,物理计算题示例问题47,答案47,错误答案47,解析说明47,2025-04-09 20:26:27
68,化学,解答题,3,化学解答题示例问题48,答案48,错误答案48,详细解析48,2025-04-09 20:26:27
69,数学,选择题,4,数学选择题示例问题49,答案49,C,解析说明49,2025-04-09 20:26:27
70,物理,填空题,5,物理填空题示例问题50,答案50,错误答案50,解析说明50,2025-04-09 20:26:27
62,化学,填空题,2,化学填空题示例问题42,答案42,错误答案42,详细解析42,2025-04-09 20:26:27
63,数学,计算题,3,计算: 54 + 53 = ?,107,错误答案43,将54与53相加得到107,2025-04-09 20:26:27
40,物理,解答题,5,物理解答题示例问题20,答案20,错误答案20,解析说明20,2025-04-09 20:26:27
41,化学,选择题,1,化学选择题示例问题21,答案21,B,详细解析21,2025-04-09 20:26:27
42,数学,填空题,2,数学填空题示例问题22,答案22,错误答案22,解析说明22,2025-04-09 20:26:27
43,物理,计算题,3,物理计算题示例问题23,答案23,错误答案23,解析说明23,2025-04-09 20:26:27
44,化学,解答题,4,化学解答题示例问题24,答案24,错误答案24,详细解析24,2025-04-09 20:26:27
45,数学,选择题,5,数学选择题示例问题25,答案25,B,解析说明25,2025-04-09 20:26:27
46,物理,填空题,1,物理填空题示例问题26,答案26,错误答案26,解析说明26,2025-04-09 20:26:27
47,化学,计算题,2,化学计算题示例问题27,答案27,错误答案27,详细解析27,2025-04-09 20:26:27
48,数学,解答题,3,证明：三角形内角和等于180度。,证明过程略,错误答案28,可以通过内错角相等和同位角相等证明,2025-04-09 20:26:27
49,物理,选择题,4,"以下哪种现象属于电磁感应？
A. 电流产生磁场
B. 导体切割磁感线产生电流
C. 静电感应
D. 电容充电",B,A,导体切割磁感线产生电流是电磁感应的典型现象,2025-04-09 20:26:27
50,化学,填空题,5,化学填空题示例问题30,答案30,错误答案30,详细解析30,2025-04-09 20:26:27
51,数学,计算题,1,计算: 30 + 22 = ?,52,错误答案31,将30与22相加得到52,2025-04-09 20:26:27
52,物理,解答题,2,物理解答题示例问题32,答案32,错误答案32,解析说明32,2025-04-09 20:26:27
53,化学,选择题,3,化学选择题示例问题33,答案33,A,详细解析33,2025-04-09 20:26:27
54,数学,填空题,4,数学填空题示例问题34,答案34,错误答案34,解析说明34,2025-04-09 20:26:27
55,物理,计算题,5,物理计算题示例问题35,答案35,错误答案35,解析说明35,2025-04-09 20:26:27
56,化学,解答题,1,化学解答题示例问题36,答案36,错误答案36,详细解析36,2025-04-09 20:26:27
57,数学,选择题,2,数学选择题示例问题37,答案37,B,解析说明37,2025-04-09 20:26:27
58,物理,填空题,3,物理填空题示例问题38,答案38,错误答案38,解析说明38,2025-04-09 20:26:27
59,化学,计算题,4,化学计算题示例问题39,答案39,错误答案39,详细解析39,2025-04-09 20:26:27
60,数学,解答题,5,证明：三角形内角和等于180度。,证明过程略,错误答案40,可以通过内错角相等和同位角相等证明,2025-04-09 20:26:27
61,物理,选择题,1,"以下哪种现象属于电磁感应？
A. 电流产生磁场
B. 导体切割磁感线产生电流
C. 静电感应
D. 电容充电",B,D,导体切割磁感线产生电流是电磁感应的典型现象,2025-04-09 20:26:27
39,数学,计算题,4,计算: 100 + 38 = ?,138,错误答案19,将100与38相加得到138,2025-04-09 20:26:27
38,化学,填空题,3,化学填空题示例问题18,答案18,错误答案18,详细解析18,2025-04-09 20:26:27
35,化学,计算题,5,化学计算题示例问题15,答案15,错误答案15,详细解析15,2025-04-09 20:26:27
36,数学,解答题,1,证明：三角形内角和等于180度。,证明过程略,错误答案16,可以通过内错角相等和同位角相等证明,2025-04-09 20:26:27
37,物理,选择题,2,"以下哪种现象属于电磁感应？
A. 电流产生磁场
B. 导体切割磁感线产生电流
C. 静电感应
D. 电容充电",B,C,导体切割磁感线产生电流是电磁感应的典型现象,2025-04-09 20:26:27
33,数学,选择题,3,数学选择题示例问题13,答案13,D,解析说明13,2025-04-09 20:26:27
34,物理,填空题,4,物理填空题示例问题14,答案14,错误答案14,解析说明14,2025-04-09 20:26:27
31,物理,计算题,1,物理计算题示例问题11,答案11,错误答案11,解析说明11,2025-04-09 20:26:27
32,化学,解答题,2,化学解答题示例问题12,答案12,错误答案12,详细解析12,2025-04-09 20:26:27
29,化学,选择题,4,化学选择题示例问题9,答案9,C,详细解析9,2025-04-09 20:26:27
30,数学,填空题,5,数学填空题示例问题10,答案10,错误答案10,解析说明10,2025-04-09 20:26:27
27,数学,计算题,2,计算: 56 + 52 = ?,108,错误答案7,将56与52相加得到108,2025-04-09 20:26:27
28,物理,解答题,3,物理解答题示例问题8,答案8,错误答案8,解析说明8,2025-04-09 20:26:27
25,物理,选择题,5,"以下哪种现象属于电磁感应？
A. 电流产生磁场
B. 导体切割磁感线产生电流
C. 静电感应
D. 电容充电",B,D,导体切割磁感线产生电流是电磁感应的典型现象,2025-04-09 20:26:27
26,化学,填空题,1,化学填空题示例问题6,答案6,错误答案6,详细解析6,2025-04-09 20:26:27
24,数学,解答题,4,证明：三角形内角和等于180度。,证明过程略,错误答案4,可以通过内错角相等和同位角相等证明,2025-04-09 20:26:27
22,物理,填空题,2,物理填空题示例问题2,答案2,错误答案2,解析说明2,2025-04-09 20:26:27
23,化学,计算题,3,化学计算题示例问题3,答案3,错误答案3,详细解析3,2025-04-09 20:26:27
21,数学,选择题,1,数学选择题示例问题1,答案1,A,解析说明1,2025-04-09 20:26:27
20,数学,计算题,2,计算: 56 + 78 = ?,134,错误答案7,将56与78相加得到134,2025-04-09 20:26:13
18,物理,选择题,5,"以下哪种现象属于电磁感应？
A. 电流产生磁场
B. 导体切割磁感线产生电流
C. 静电感应
D. 电容充电",B,C,导体切割磁感线产生电流是电磁感应的典型现象,2025-04-09 20:26:13
19,化学,填空题,1,化学填空题示例问题6,答案6,错误答案6,详细解析6,2025-04-09 20:26:13
16,化学,计算题,3,化学计算题示例问题3,答案3,错误答案3,详细解析3,2025-04-09 20:26:13
17,数学,解答题,4,证明：三角形内角和等于180度。,证明过程略,错误答案4,可以通过内错角相等和同位角相等证明,2025-04-09 20:26:13
15,物理,填空题,2,物理填空题示例问题2,答案2,错误答案2,解析说明2,2025-04-09 20:26:13
14,数学,选择题,1,数学选择题示例问题1,答案1,C,解析说明1,2025-04-09 20:26:13
13,化学,填空题,5,化学填空题示例问题2,答案2,错误答案2,详细解析2,2025-04-09 20:21:06
12,数学,填空题,3,数学填空题示例问题1,答案1,错误答案1,解析说明1,2025-04-09 20:21:06
11,数学,选择题,3,五十万+三十万,八十万,八十,,2025-04-09 20:19:52
10,化学,填空题,5,化学填空题示例问题1,答案1,错误答案1,详细解析1,2025-04-09 20:19:17
9,数学,解答题,2,证明：三角形内角和等于180度。,证明过程略,错误答案1,可以通过内错角相等和同位角相等证明,2025-04-09 20:19:16
8,物理,解答题,5,物理解答题示例问题1,答案1,错误答案1,解析说明1,2025-04-09 20:19:15
7,化学,填空题,2,化学填空题示例问题1,答案1,错误答案1,详细解析1,2025-04-09 20:19:13
6,数学,填空题,4,数学填空题示例问题2,答案2,错误答案2,解析说明2,2025-04-09 20:19:04
5,物理,填空题,5,物理填空题示例问题1,答案1,错误答案1,解析说明1,2025-04-09 20:19:04
4,数学,选择题,3,1+2=,3,4,,2025-04-09 19:55:05
3,数学,选择题,3,1+2=,3,4,,2025-04-09 19:55:00
2,数学,选择题,3,1+2=,3,4,,2025-04-09 19:54:56
1,数学,选择题,3,nh,题目内容、学科、题型、正确答案,,,2025-04-09 19:52:13
